Nama,Email,Umur,Pendapatan,Tanggal Pembelian,Produk,Nilai Transaksi
Mike,owensrobert@hotmail.com,59,3741985672,2004-11-28,Laptop,7711290
Cynthia,lonnieandrews@cisneros-freeman.net,49,5139026,2000-02-10,Tablet,2393089
Debbie,allison19@yahoo.com,41,4974434132,1982-04-24,Headphone,7488725
Rachel,jjenkins@osborne.info,66,6422484,1993-08-02,Smartwach,5974942
Sean,ronald86@email.com,43,7309258,2020-09-21,Laptop,6997815
Amanda,melissa50@hotmail.com,45,4765981,2014-06-13,Smartwatch,2110772
Robert,jason16@hotmail.com,31,6167831,1972-05-31,Handphone,4166003
James,angela86@hernandez.com,21,1750047896,1970-07-07,Laptop,8695785
Aaron,scottjacqueline@lewis-chase.info,49,3087774620,1983-08-20,Laptop,6703858
Sydney,thomaskrause@martin.com,24,4306503420,2012-10-02,Handphone,6225011
Lauren,michaelsharp@clark-martin.com,26,3607884820,2019-11-13,Laptop,6547810
Sheri,arnoldbrett@sellers-thompson.net,29,2488026821,1975-08-13,Headphone,3068588
Morgan,richardsonjon@hon@yahoo.com,68,1529920627,2009-11-10,Tablet,7892866
Craig,austinbaldwin@hotmail.com,36,3052819,2022-08-13,Smartwatch,8981630
Walter,sara87@gmail.com,19,9751624,2015-11-07,Handphone,7111386
Bryan,williamsanthony@yahoo.com,65,2091586467,1988-12-24,Headphone,9385903
Elizabeth,tylerfinley@yahoo.com,37,9120819,2015-02-18,Handphone,6390568
Bobby,isimpson@brown-sellers.com,69,3154243087,1997-02-17,Tablet,8673469
Shannon,cesardoyle@email.com,48,7502984,2022-04-14,Smartwatch,8353152
Rita,osbornejulie@gmail.com,46,4801131,2009-01-03,Headphone,4287524
Pamela,megancosta@yahoo.com,39,4743642660,2011-08-16,Laptop,8043250
Amber,michaelarmstrong@jimenez-johnson.com,41,4764594,1976-12-15,Headphone,3312777
Peter,fordwilliam@elliott.com,49,5655666,1981-12-21,Laptop,9968161
Matthew,jessicahall@yahoo.com,32,3359452666,2000-05-22,Headphone,7317635
Shelly,johngoodwin@perry.com,65,1503571524,2002-06-21,Handphone,2021118
Daniel,jsmith@meyer.info,63,8029197,1988-09-07,Handphone,3359641
Calvin,andre49@hotmail.com,40,2575808578,1973-08-29,Smartwatch,2496871
Bryan,guerreronicolas@hotmail.com,49,6816341,1993-02-19,Handphone,8766162
Heather,dlandry@email.com,57,9980884,1986-01-20,Handphone,7553960
Anthony,dawnday@gmail.com,24,3553265,1974-01-13,Laptop,2736049
Rebecca,linlaurie@yahoo.com,34,2454478778,1971-10-05,Tablet,2256555
James,john19@email.com,42,3457646809,1993-06-10,Smartwach,3305087
Matthew,davidwilliams@brown-ryan.net,70,1185314610,2014-11-27,Handphone,6017027
Tara,amanda77@stuart.com,37,3417336527,1989-10-22,Headphone,6370142
Patrick,zthompson@hotmail.com,59,6705425,2023-12-01,Laptop,9079604
Jeremy,steelesylvia@casey-anderson.com,63,3349757081,1995-12-14,Laptop,7855360
Thomas,michelefernandez@gmail.com,36,7748933,2005-08-03,Handphone,2826983
Jared,qwiggins@hodges.com,69,8024480,2005-01-02,Tablet,3093351
Joanna,pwalker@gmail.com,67,5748244,2010-11-19,Handphone,3906783
